price,beds_baths_area,address
"95,000",12641 sqft,Damac Heights Marina
"150,000","351,908 sqft","Sadaf 8, Sadaf, Jumeirah Beach Residence (JBR)"
"250,000","341,838 sqft","The Residence 2, The Residences, Downtown Dubai"
"60,000",12764 sqft,"Shamal Residences 2, Shamal Residences, JVC District 14, Jumeirah Village Circle (JVC)"
"48,000",12872 sqft,"Roxana Residence B, Roxana Residences, JVC District 12, Jumeirah Village Circle (JVC)"
"48,999",12901 sqft,The Gate Residence 1 Residence Complex
"28,000",01428 sqft,"Diamond Views II, Diamond Views, JVC District 14, Jumeirah Village Circle (JVC)"
"190,000","353,554 sqft",Al Seef Tower Marina
"175,000","352,633 sqft",Marina Mansions Marina
"29,000",12739 sqft,"EMR-09, Emirates Cluster, International City"
"75,000",11654 sqft,Executive Residences Hills Estate
"70,000","241,404 sqft","Lake Point Tower, JLT Cluster N, Jumeirah Lake Towers (JLT)"
"30,000",01599 sqft,National Bonds Oasis Silicon Oasis
"80,000","341,700 sqft",SOL Star Investment Park (DIP)
"210,000","434,862 sqft","Terrace Apartments A, Terrace Apartments, Green Community East, Green Community"
"365,000","333,945 sqft","Golden Mile 2, Golden Mile, Palm Jumeirah"
"84,999","331,421 sqft","Binghatti Avenue, Al Jaddaf"
"98,000",22909 sqft,"Reva Residences, Business Bay"
"120,000",11741 sqft,"Opera Grand, Downtown Dubai"
"140,000","231,333 sqft","The Lofts Central Tower, The Lofts, Downtown Dubai"
"119,000","221,121 sqft","Paramount Hotel & Residences, Business Bay"
"55,000",12672 sqft,"Binghatti Avenue, Al Jaddaf"
"220,000","231,713 sqft","Opera Grand, Downtown Dubai"
"40,999",12850 sqft,"Abdul Wahed Bin Shabib Building, Arjan"
"88,999","332,150 sqft","Silver Sands 2, Al Mankhool, Bur Dubai"
"150,000","121,128 sqft","SLS Dubai Hotel & Residences, Business Bay"
"75,000",11772 sqft,"Creek Horizon Tower 1, Creek Horizon Creek Harbour, The Lagoons"
"69,999","221,323 sqft","Binghatti Avenue, Al Jaddaf"
"230,000","442,786 sqft","Sadaf 1, Sadaf, Jumeirah Beach Residence (JBR)"
"48,000",12859 sqft,"Building 88, Arjan"
"67,999","121,020 sqft","Golden Sands 14, Al Mankhool, Bur Dubai"
"85,000","331,422 sqft","Binghatti Avenue, Al Jaddaf"
"47,999",12985 sqft,Arena Apartments Sports City
"69,999","221,340 sqft","Golden Sands 9, Al Mankhool, Bur Dubai"
"75,000","111,182 sqft","Two Towers A, Two Towers, Barsha Heights (Tecom)"
"70,000",01507 sqft,"Palm Views West, Palm Views, Palm Jumeirah"
"149,999","341,743 sqft","D1 Tower, Culture Village"
"36,000",12800 sqft,H40 Building Production City (IMPZ)
"190,000","241,718 sqft","Building 13B, City Walk, Al Wasl"
"87,000","341,964 sqft",Binghatti Views Silicon Oasis
"378,000","352,047 sqft","Opera Grand, Downtown Dubai"
"58,000","121,000 sqft","Dawoud Abdulrahman Building, Al Barsha 1, Al Barsha"
"59,999",11472 sqft,"Vera Residences, Business Bay"
"95,000","231,377 sqft",Emerald Residence Marina
"55,000",12802 sqft,"Ontario Tower, Business Bay"
"62,900","231,400 sqft","API Arjan Two Building, Arjan"
"75,000","121,149 sqft","Executive Tower B, Executive Towers, Business Bay"
"30,000",11720 sqft,"Jassem Building, Residential District South"
"42,990",12900 sqft,"Abdul Wahed Bin Shabib Building, Arjan"
"60,000",11487 sqft,Collective Hills Estate
"30,000",01407 sqft,"Carson Tower B, Carson - The Drive, DAMAC Hills"
"104,999","332,330 sqft","Golden Sands 9, Al Mankhool, Bur Dubai"
"26,999",01538 sqft,"Mizin 3, Majanland"
"29,998",01483 sqft,"Building 86, Mediterranean, Discovery Gardens"
"105,000","231,355 sqft","Tulip, Al Murooj Complex, DIFC"
"74,000","121,060 sqft","Duja Tower, Sheikh Zayed Road"
"1,300,000","452,468 sqft","Apartment Building 2, Bluewaters Residences, Bluewaters Island"
"250,000","352,081 sqft","The Residence 1, The Residences, Downtown Dubai"
"90,000","221,179 sqft","Marina Residence A, Marina Residence Marina"
"84,999","231,179 sqft","Marina Residence A, Marina Residence Marina"
"105,000","221,330 sqft","Millennium Binghatti Residences, Business Bay"
"30,000",01500 sqft,"API Arjan Two Building, Arjan"
"27,990",01391 sqft,"Elz Residence, Arjan"
"32,000",01541 sqft,"Oxford Building, JVC District 14, Jumeirah Village Circle (JVC)"
"93,999","231,475 sqft","Golden Sands 14, Al Mankhool, Bur Dubai"
"70,000",01548 sqft,"Palm Views East, Palm Views, Palm Jumeirah"
"67,999",12948 sqft,"Golden Sands 14, Al Mankhool, Bur Dubai"
"61,999",12988 sqft,"Scala Tower, Business Bay"
"44,999",12900 sqft,"Dumax Building, Arjan"
"240,000","344,245 sqft","Silverene Tower B, Silverene Marina"
"84,000","331,425 sqft","Binghatti Avenue, Al Jaddaf"
"65,000","121,103 sqft","Qamar 11, Madinat Badr, Muhaisnah 1, Muhaisnah"
"160,000","121,170 sqft","SLS Dubai Hotel & Residences, Business Bay"
"67,000","221,200 sqft","Eastern Star Residence, Al Jaddaf"
"75,000",12970 sqft,"Belgravia 1, Belgravia, JVC District 11, Jumeirah Village Circle (JVC)"
"400,000","352,040 sqft","Opera Grand, Downtown Dubai"
"150,000","121,214 sqft","SLS Dubai Hotel & Residences, Business Bay"
"42,999",12850 sqft,"Eastern Star Residence, Al Jaddaf"
"140,000","121,170 sqft","SLS Dubai Hotel & Residences, Business Bay"
"135,000","231,302 sqft","Bonaire Tower, Park Island Marina"
"149,999","121,165 sqft","SLS Dubai Hotel & Residences, Business Bay"
"150,000","121,294 sqft","SLS Dubai Hotel & Residences, Business Bay"
"34,000",01500 sqft,"Eastern Star Residence, Al Jaddaf"
"35,000",11732 sqft,"P-21, France Cluster, International City"
"250,000","232,595 sqft","Seventh Heaven, Al Barari"
"150,000","121,174 sqft","SLS Dubai Hotel & Residences, Business Bay"
"240,000","351,779 sqft","Vida Residence 2, Vida Residence (The Hills), The Hills"
"50,000",12846 sqft,"Roxana Residence D, Roxana Residences, JVC District 12, Jumeirah Village Circle (JVC)"
"38,000",11850 sqft,"Burj Residence 3, Arjan"
"50,000",12821 sqft,"Oxford Building, JVC District 14, Jumeirah Village Circle (JVC)"
"37,000",12650 sqft,"Afnan 4, Afnan District, Midtown Production City (IMPZ)"
"49,999","221,042 sqft","Noor Apartment 1, Jumeirah Village Triangle (JVT)"
"88,000",12991 sqft,"Green Lakes 1, JLT Cluster S (Green Lake Towers), Jumeirah Lake Towers (JLT)"
"210,000","231,417 sqft","Burj Vista 1, Burj Vista, Downtown Dubai"
"60,000",22887 sqft,"Safi 1, Safi Apartments, Town Square"
"125,000","231,176 sqft","Executive Bay Tower A, Business Bay"
"95,000",22900 sqft,"Vera Residences, Business Bay"
"55,000","231,287 sqft",Bermuda Views Sports City
"32,000",11654 sqft,"Golf Views, EMAAR South South"
"115,000","221,103 sqft","Creek Rise 1 Tower, Creek Rise Creek Harbour, The Lagoons"
"70,000",12884 sqft,"La Riviera Azure, JVC District 10, Jumeirah Village Circle (JVC)"
"720,000","452,977 sqft","Downtown Views, Downtown Dubai"
"130,000","221,418 sqft","Golf Tower 1, Golf Tower, The Views"
"110,000","221,788 sqft","Lake Shore Tower, JLT Cluster Y, Jumeirah Lake Towers (JLT)"
"54,999","121,116 sqft","Aras Residence, Majanland"
"30,000",01380 sqft,"Al Wajdi Building, Al Souk Al Kabeer, Bur Dubai"
"99,999","121,123 sqft","Central Park Residence Tower, Central Park Towers, DIFC"
"150,000","221,886 sqft","Golden Mile 6, Golden Mile, Palm Jumeirah"
"89,500","111,089 sqft","Burj Views Podium, Burj Views, Downtown Dubai"
"85,000","221,042 sqft","Creek Gate Tower 1, Creek Gate Creek Harbour, The Lagoons"
"60,000",22882 sqft,"Zahra Apartments 2B, Zahra Apartments, Town Square"
"34,000",11706 sqft,"Mazaya 7, Queue Point, Liwan"
"105,000","121,306 sqft","Golden Mile 6, Golden Mile, Palm Jumeirah"
"400,000","241,149 sqft","Jumeirah Gate Tower 1, The  Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR)"
"70,000",22762 sqft,"The Nook, Wasl Gate"
"125,000","231,249 sqft","Una Riverside Residence, Una, The Views"
"38,000",12900 sqft,"City Oasis 1, City Oasis Silicon Oasis"
"135,000","221,031 sqft","Standpoint Tower 2, Standpoint Towers, Downtown Dubai"
"125,000","231,302 sqft","Park Place Tower, Sheikh Zayed Road"
"80,000",11767 sqft,"Creek Horizon Tower 2, Creek Horizon Creek Harbour, The Lagoons"
"37,000",01376 sqft,"Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC)"
"45,000",12850 sqft,"Dune Residency, JVC District 17, Jumeirah Village Circle (JVC)"
"140,000","221,243 sqft",West Avenue Marina
"55,000",12798 sqft,"Divine Residences, Arjan"
"115,000","231,625 sqft","V3 Tower, JLT Cluster V, Jumeirah Lake Towers (JLT)"
"130,000","241,650 sqft","Al Seef Tower 2, JLT Cluster U (Al Seef Towers), Jumeirah Lake Towers (JLT)"
"97,000","231,650 sqft","Golden Sands 14, Al Mankhool, Bur Dubai"
"110,000","121,145 sqft","Al Sarrood, Shoreline Apartments, Palm Jumeirah"
"230,000","342,939 sqft","Jumeirah Living, World Trade Centre Residence, World Trade Centre"
"145,000","221,089 sqft","29 Boulevard 1, 29 Boulevard, Downtown Dubai"
"175,000","341,610 sqft","Park Heights 2, Park Heights Hills Estate"
"92,000","341,994 sqft","The Plaza Residences, JVC District 13, Jumeirah Village Circle (JVC)"
"69,999","231,130 sqft","Al Barsha South 2, Al Barsha South, Al Barsha"
"75,000",12673 sqft,"Creekside 18 Tower A, Creekside 18 Creek Harbour, The Lagoons"
"49,000",12958 sqft,"Mediterranean, Discovery Gardens"
"47,999","121,064 sqft","Rose 1, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC)"
"350,000","231,450 sqft","Apartment Building 3, Bluewaters Residences, Bluewaters Island"
"110,000","331,991 sqft","Roxana Residence A, Roxana Residences, JVC District 12, Jumeirah Village Circle (JVC)"
"50,000",01473 sqft,"AG Tower, Business Bay"
"50,000",12750 sqft,"RMT Residence, JVC District 11, Jumeirah Village Circle (JVC)"
"120,000",11793 sqft,"La Cote Tower 2, La Cote, Port De La Mer, La Mer, Jumeirah"
"100,000","221,220 sqft",The Cascades Marina
"70,000",23950 sqft,"RMT Residence, JVC District 11, Jumeirah Village Circle (JVC)"
"108,000","342,300 sqft","Al Hudaiba Mall, Al Hudaiba"
"92,000",32999 sqft,"The Nook, Wasl Gate"
"65,000","121,100 sqft","Al Hudaiba Mall, Al Hudaiba"
"120,000","121,217 sqft","Seventh Heaven, Al Barari"
"65,000",22938 sqft,"AKA Residence, JVC District 11, Jumeirah Village Circle (JVC)"
"165,000","231,187 sqft",5242 Towers Marina
"157,000","221,155 sqft","29 Boulevard 1, 29 Boulevard, Downtown Dubai"
"70,000",11768 sqft,"Creek Horizon Tower 1, Creek Horizon Creek Harbour, The Lagoons"
"28,990",01420 sqft,"Crystal Residence, JVC District 11, Jumeirah Village Circle (JVC)"
"45,000",11595 sqft,"Samana Hills, Arjan"
"65,000",12854 sqft,"Lake View Tower, JLT Cluster B, Jumeirah Lake Towers (JLT)"
"65,000",23989 sqft,"Binghatti Gems, JVC District 12, Jumeirah Village Circle (JVC)"
"40,000",12827 sqft,"The Manhattan, JVC District 10, Jumeirah Village Circle (JVC)"
"55,000","231,250 sqft","Al Habtoor Al Nahda Building, Al Nahda 1, Al Nahda (Dubai)"
"48,000","121,064 sqft","Rose 1, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC)"
"245,000","352,079 sqft","C1, The Hills C, The Hills"
"38,000",12814 sqft,"Lolena Residence, JVC District 12, Jumeirah Village Circle (JVC)"
"94,999",11765 sqft,"Lamtara Building 1, Lamtara, Madinat Jumeirah Living, Umm Suqeim"
"100,000","231,432 sqft","Sadaf 7, Sadaf, Jumeirah Beach Residence (JBR)"
"350,000","444,005 sqft",Al Yass Tower Marina Towers (Emaar 6 Towers) Marina
"240,000","231,171 sqft","Beach Vista 1, Beach Vista, EMAAR Beachfront Harbour"
"46,000","121,108 sqft","Building 20, Zen Cluster, Discovery Gardens"
"64,999",23930 sqft,"Binghatti Gate, JVC District 15, Jumeirah Village Circle (JVC)"
"47,999",12772 sqft,"Binghatti Mirage, JVC District 10, Jumeirah Village Circle (JVC)"
"68,000",23853 sqft,"Binghatti Mirage, JVC District 10, Jumeirah Village Circle (JVC)"
"105,000","221,108 sqft","Creek Rise 1 Tower, Creek Rise Creek Harbour, The Lagoons"
"60,000","221,186 sqft","Sobha Daffodil Wing A, Sobha Daffodil, JVC District 13, Jumeirah Village Circle (JVC)"
"42,000","121,035 sqft","Hassani 23, Nad Al Hamar"
"110,000",11763 sqft,"Marina Gate 2, Marina Gate Marina"
"69,999","231,350 sqft","Geepas Tower, Arjan"
"124,500","231,835 sqft","Shams 4, Shams, Jumeirah Beach Residence (JBR)"
"41,999",11730 sqft,"Diamond Views III, Diamond Views, JVC District 14, Jumeirah Village Circle (JVC)"
"105,000","121,123 sqft","Central Park Residence Tower, Central Park Towers, DIFC"
"56,000","121,050 sqft","Zen Cluster, Discovery Gardens"
"125,000","231,631 sqft","Park Gate Residence, Al Kifaf, Bur Dubai"
"180,000","452,827 sqft","Sadaf 8, Sadaf, Jumeirah Beach Residence (JBR)"
"105,000","221,107 sqft","Creek Rise 1 Tower, Creek Rise Creek Harbour, The Lagoons"
"98,000","221,329 sqft","Millennium Binghatti Residences, Business Bay"
"78,000","221,350 sqft","Cloud 9, Acacia Avenues, Al Sufouh"
"95,000","231,724 sqft","ALCOVE, JVC District 11, Jumeirah Village Circle (JVC)"
"59,999",22966 sqft,"Binghatti Gems, JVC District 12, Jumeirah Village Circle (JVC)"
"115,000","341,793 sqft","Azizi Daisy, Al Furjan"
"40,999",12703 sqft,"Abdul Wahed Bin Shabib Building, Arjan"
"300,000","221,525 sqft","Tower B2, Vida Hotel, The Hills"
"60,000",21758 sqft,"The Nook, Wasl Gate"
"370,000","221,473 sqft","Jumeirah Gate Tower 1, The  Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR)"
"225,000","331,784 sqft","C2, The Hills C, The Hills"
"95,000","221,258 sqft",The Torch Marina
"109,999","231,376 sqft","Al Andalus Tower F, Al Andalus, Jumeirah Golf Estates"
"125,000","231,000 sqft",Executive Residences Hills Estate
"180,000","231,413 sqft","Al Majara 3, Al Majara Marina"
"70,000",11728 sqft,"Harbour Views 1, Harbour Views Creek Harbour, The Lagoons"
"36,000",01463 sqft,"Masaken Al Warqa 01, Al Warqaa 1, Al Warqaa"
"45,000","221,300 sqft","Nahda Park Building, Al Nahda 2, Al Nahda (Dubai)"
"70,000",01549 sqft,"Palm Views East, Palm Views, Palm Jumeirah"
"65,990","231,154 sqft",Binghatti Apartments Silicon Oasis
"54,000","221,216 sqft","Al Nahda Homes, Al Nahda 1, Al Nahda (Dubai)"
"55,000","221,009 sqft","Al Thamam 53, Al Thamam, Remraam"
"85,000",12896 sqft,Marina Sail Marina
"90,000","231,358 sqft","Hilliana Tower, Acacia Avenues, Al Sufouh"
"139,500","221,220 sqft","Paramount Hotel & Residences, Business Bay"
"162,000","231,604 sqft",Trident Grand Residence Marina
"46,000","231,600 sqft","Al Falasi Building, Al Nahda 2, Al Nahda (Dubai)"
"155,000","341,616 sqft","Creekside 18 Tower B, Creekside 18 Creek Harbour, The Lagoons"
"130,000","221,212 sqft","Harbour Views 1, Harbour Views Creek Harbour, The Lagoons"
"46,000","231,600 sqft","Al Falasi Building, Al Nahda 2, Al Nahda (Dubai)"
"36,999",01484 sqft,"Building 67, Mediterranean, Discovery Gardens"
"174,000","231,443 sqft","Paloma, Marina Promenade Marina"
"27,999",01491 sqft,"Silicon Gates 1, Silicon Gates Silicon Oasis"
"38,990",12764 sqft,Binghatti Apartments Silicon Oasis
"62,000",11468 sqft,"Reva Residences, Business Bay"
"70,000",11645 sqft,"Park Heights 2, Park Heights Hills Estate"
"125,000","221,302 sqft","Park Place Tower, Sheikh Zayed Road"
"49,500",12704 sqft,"Knightsbridge Court, JVC District 13, Jumeirah Village Circle (JVC)"
"50,000",12860 sqft,"Azizi Daisy, Al Furjan"
"116,000",11813 sqft,"Rahaal Building 2, Rahaal, Madinat Jumeirah Living, Umm Suqeim"
"75,000",11789 sqft,"Creek Rise 1 Tower, Creek Rise Creek Harbour, The Lagoons"
"66,000",12950 sqft,"Concorde Tower, JLT Cluster H, Jumeirah Lake Towers (JLT)"
"135,000","231,378 sqft",Iris Blue Marina
"47,999",12866 sqft,"Azizi Tulip, Al Furjan"
"47,990","121,290 sqft","Abdul Wahed Bin Shabib Building, Arjan"
"450,000","567,605 sqft",Al Seef Tower Marina
"104,980","221,188 sqft",Princess Tower Marina
"120,000","231,632 sqft","Park Gate Residence, Al Kifaf, Bur Dubai"
"145,000","231,511 sqft","Noora, Al Habtoor City, Business Bay"
"300,000","341,941 sqft","Burj Vista 1, Burj Vista, Downtown Dubai"
"80,000","331,422 sqft","Binghatti Avenue, Al Jaddaf"
"25,999",01459 sqft,H40 Building Production City (IMPZ)
"40,000",12806 sqft,"Global Golf Residence 2, Global Golf Residence Sports City"
"280,000","352,082 sqft","The Residence 7, The Residences, Downtown Dubai"
"40,000",12957 sqft,"Siena 1, Siena, Tuscan Residence, JVC District 10, Jumeirah Village Circle (JVC)"
"80,000","121,009 sqft",Westside Marina Marina
"35,000",11818 sqft,"Ritaj Block F, Ritaj (Residential Complex), Phase 2 Investment Park (DIP)"
"145,000","221,219 sqft","29 Boulevard Podium, 29 Boulevard, Downtown Dubai"
"75,000","231,500 sqft","Adaire 1, Al Satwa"
"34,999",12800 sqft,H40 Building Production City (IMPZ)
"100,000","221,246 sqft","Creek Rise 2 Tower, Creek Rise Creek Harbour, The Lagoons"
"80,000",12818 sqft,"Bayz by Danube, Business Bay"
"95,000",11800 sqft,"La Cote Tower 1, La Cote, Port De La Mer, La Mer, Jumeirah"
"60,000",11928 sqft,"GoDolphin Avenue, Nad Al Sheba 1, Nad Al Sheba"
"49,000","121,546 sqft","European, Canal Residence West Sports City"
"60,000",12769 sqft,"Carson Tower A, Carson - The Drive, DAMAC Hills"
"110,000","221,212 sqft","Harbour Views 1, Harbour Views Creek Harbour, The Lagoons"
"195,000","332,336 sqft","Park Place Tower, Sheikh Zayed Road"
"47,000",12969 sqft,"Building 45, Mediterranean, Discovery Gardens"
"135,000","221,316 sqft","Murjan 1, Murjan, Jumeirah Beach Residence (JBR)"
"100,000",11788 sqft,"Lamtara, Madinat Jumeirah Living, Umm Suqeim"
"27,000",01567 sqft,"Madison Residences, Majanland"
"118,000",11807 sqft,"Rahaal, Madinat Jumeirah Living, Umm Suqeim"
"419,888","352,042 sqft","Opera Grand, Downtown Dubai"
"63,000","231,150 sqft","Al Moosawi Grand Residence, Al Barsha 1, Al Barsha"
"60,000",12805 sqft,"V3 Tower, JLT Cluster V, Jumeirah Lake Towers (JLT)"
"132,000","231,230 sqft","29 Boulevard 1, 29 Boulevard, Downtown Dubai"
"139,999","231,469 sqft","Mon Reve, Downtown Dubai"
"125,000","221,173 sqft","Park Place Tower, Sheikh Zayed Road"
"60,000",11488 sqft,Collective Hills Estate
"50,000",01554 sqft,Yacht Bay Marina
"160,000","231,579 sqft","Al Majara 2, Al Majara Marina"
"70,000",11742 sqft,"Harbour Views 2, Harbour Views Creek Harbour, The Lagoons"
"90,000","231,700 sqft","Al Hudaiba Mall, Al Hudaiba"
"599,999","342,033 sqft","Apartment Building 3, Bluewaters Residences, Bluewaters Island"
"125,000","231,631 sqft","Park Gate Residence, Al Kifaf, Bur Dubai"
"90,000",11708 sqft,"Standpoint Tower 1, Standpoint Towers, Downtown Dubai"
"31,000",01560 sqft,"Hassani 23, Nad Al Hamar"
"85,000","331,428 sqft","Binghatti Avenue, Al Jaddaf"
"80,000",21723 sqft,Collective Hills Estate
"95,000",12879 sqft,"Dubai Creek Residence Tower 1 North Creek Harbour, The Lagoons"
"150,000","231,835 sqft","Shams 4, Shams, Jumeirah Beach Residence (JBR)"
"160,000",12826 sqft,"Burj Khalifa, Downtown Dubai"
"60,000",12923 sqft,"Dubai Star Tower, JLT Cluster L, Jumeirah Lake Towers (JLT)"
"110,000","331,428 sqft","Binghatti Avenue, Al Jaddaf"
"41,000",11590 sqft,"Murano Residences 2, Murano Residences, Al Furjan"
"36,000",12743 sqft,"La Vista Residence 3, La vista Residence Silicon Oasis"
"77,000","221,232 sqft","Al Murad Tower, Al Barsha 1, Al Barsha"
"48,000",12706 sqft,"Binghatti Avenue, Al Jaddaf"
"135,000","221,219 sqft","Upper Crest (Burjside Terrace), Downtown Dubai"
"61,999",12723 sqft,"Marina Residence B, Marina Residence Marina"
"32,000",12850 sqft,Etlala Residence Residence Complex
"159,000","333,846 sqft","GoDolphin Avenue, Nad Al Sheba 1, Nad Al Sheba"
"45,000","221,005 sqft","Ewan Residence 1, Ewan Residence Investment Park (DIP)"
"25,000",01455 sqft,"Elite Sports Residence 2, Elite Sports Residence Sports City"
"35,999",12850 sqft,"Mizin 4, Majanland"
"24,000",01500 sqft,"Lago Vista B, Lago Vista Production City (IMPZ)"
"120,000","332,312 sqft","Binghatti Avenue, Al Jaddaf"
"85,000","231,179 sqft","Marina Residence A, Marina Residence Marina"
"190,000","231,836 sqft","Index Tower, DIFC"
"49,999",22936 sqft,"Lawnz by Danube, International City"
"120,000","221,084 sqft","Park Heights 1, Park Heights Hills Estate"
"145,000","121,372 sqft","Amber, Tiara Residences, Palm Jumeirah"
"38,000",11631 sqft,"Lawnz by Danube, International City"
"77,000","331,388 sqft","Palm Tree Residence, Majanland"
"37,999",12631 sqft,"Lawnz by Danube, International City"
"40,000",11672 sqft,"Palm Tree Residence, Majanland"
"200,000","231,715 sqft","Opera Grand, Downtown Dubai"
"82,000","231,103 sqft","Al Waleed Paradise, JLT Cluster R, Jumeirah Lake Towers (JLT)"
"133,000",11793 sqft,"La Cote Tower 2, La Cote, Port De La Mer, La Mer, Jumeirah"
"48,000",12706 sqft,"Binghatti Avenue, Al Jaddaf"
"34,000",01495 sqft,"Zen Cluster, Discovery Gardens"
"30,000",01463 sqft,"P-21, France Cluster, International City"
"85,000","221,047 sqft","Creek Gate Tower 1, Creek Gate Creek Harbour, The Lagoons"
"136,000","231,511 sqft","Amna, Al Habtoor City, Business Bay"
"27,999",01509 sqft,"Noor Apartment 1, Jumeirah Village Triangle (JVT)"
"41,999",12975 sqft,"Maple 2, Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC)"
"30,000",01381 sqft,"Palm Tree Residence, Majanland"
"75,000",11820 sqft,"Creek Rise Creek Harbour, The Lagoons"
"75,000",22983 sqft,"Marina Diamond 1, Marina Diamonds Marina"
"60,000","221,200 sqft","Rose 1 Building, Al Mankhool, Bur Dubai"
"80,000","241,447 sqft","Azizi Orchid, Al Furjan"
"50,000","221,300 sqft","Al Nahda Homes, Al Nahda 1, Al Nahda (Dubai)"
"50,000",12891 sqft,"City Apartments, JVC District 11, Jumeirah Village Circle (JVC)"
"135,000",11794 sqft,"La Cote Tower 2, La Cote, Port De La Mer, La Mer, Jumeirah"
"45,000",12810 sqft,Eagle Heights Sports City
"489,000","452,816 sqft","Lamtara Building 3, Lamtara, Madinat Jumeirah Living, Umm Suqeim"
"30,000",01527 sqft,"Mediterranean, Discovery Gardens"
"85,000",22899 sqft,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City"
"68,000","231,350 sqft","Geepas Tower, Arjan"
"48,000",12860 sqft,"Al Faraidooni Building, Al Barsha 1, Al Barsha"
"74,999",11819 sqft,"Creek Rise 2 Tower, Creek Rise Creek Harbour, The Lagoons"
"42,000",12800 sqft,"Al Thani Residence, Al Barsha 1, Al Barsha"
"118,000","231,300 sqft","A A Tower, Sheikh Zayed Road"
"200,000","231,713 sqft","Opera Grand, Downtown Dubai"
"190,000",11774 sqft,"Lamtara, Madinat Jumeirah Living, Umm Suqeim"
"30,000",01435 sqft,"Global Golf Residence 2, Global Golf Residence Sports City"
"32,000",01472 sqft,"Pantheon Elysee, JVC District 13, Jumeirah Village Circle (JVC)"
"36,999",01484 sqft,"Building 188, Mogul, Discovery Gardens"
"48,000",12750 sqft,"AKA Residence, JVC District 11, Jumeirah Village Circle (JVC)"
"45,000",01480 sqft,"Safeer Tower 2, Business Bay"
"65,000",12822 sqft,"Al Andalus Tower F, Al Andalus, Jumeirah Golf Estates"
"120,000","231,329 sqft","Paramount Hotel & Residences, Business Bay"
"100,000",11788 sqft,"Lamtara, Madinat Jumeirah Living, Umm Suqeim"
"240,000","341,727 sqft",5242 Towers Marina
"79,900",11493 sqft,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City"
"150,000","221,121 sqft","Paramount Hotel & Residences, Business Bay"
"44,998",12935 sqft,"Dumax Building, Arjan"
"65,000",23790 sqft,"Al Khayat Apartments, Al Hamriya, Bur Dubai"
"85,000",12708 sqft,"Bay Central (Central Tower), Bay Central Marina"
"170,000","221,119 sqft",5242 Towers Marina
"36,999",11615 sqft,"Noor Apartment 1, Jumeirah Village Triangle (JVT)"
"48,000","121,108 sqft","Building 20, Zen Cluster, Discovery Gardens"
"47,999","121,050 sqft","Royal JVC Building, JVC District 10, Jumeirah Village Circle (JVC)"
"115,000","221,084 sqft","Park Heights 1, Park Heights Hills Estate"
"37,000",01527 sqft,"Zen Cluster, Discovery Gardens"
"70,000",11785 sqft,"Wilton Terraces 1, Sobha Hartland, Mohammed Bin Rashid City"
"70,000",11645 sqft,"Park Heights 2, Park Heights Hills Estate"
"85,000","331,380 sqft","Zahra Breeze Apartments 3B, Zahra Breeze Apartments, Town Square"
